ID,income,gender,age,marriage,children,residence,price,loan,house,target
39,1000680,Female,60,married,3,east,18.4,57728,with_parents,F
40,505884,Female,33,married,2,east,17.8,43597,with_parents,F
41,608448,Female,57,married,0,east,16.3,22835,rent,F
42,781188,Male,64,married,1,east,13.5,57940,rent,F
43,1161192,Female,39,married,1,north,13.1,46546,with_parents,F
44,817968,Female,59,married,1,east,22.2,57769,rent,F
45,538500,Female,60,married,0,east,16.2,25296,with_parents,F
46,588960,Male,39,married,2,east,15.7,49510,rent,F
47,302004,Male,25,married,0,east,13.2,57510,rent,F
48,891288,Female,63,married,0,east,22.9,58251,with_parents,F
49,667032,Female,28,married,0,east,24.1,58555,rent,F
50,953352,Male,45,married,2,east,9.5,24808,with_parents,T
51,386772,Male,23,married,0,east,19.3,31717,with_parents,F
52,364212,Male,41,married,0,east,17.6,16203,rent,F
53,704100,Female,60,married,2,east,20.7,17954,rent,T
54,851784,Female,34,married,1,east,10.8,41800,with_parents,F
55,597660,Male,52,married,3,east,21.9,29373,with_parents,F
56,436488,Male,45,married,1,east,10.3,51869,rent,F
57,665304,Female,21,married,3,east,14.1,54913,with_parents,F
58,916764,Female,52,married,0,east,18.7,21891,with_parents,F
59,767148,Female,50,single,0,east,18.9,51678,with_parents,F
60,618804,Male,55,single,0,east,9.6,46680,with_parents,F
61,1094724,Female,44,single,0,central,10,33437,rent,T
62,500196,Male,24,single,0,east,10.9,33466,with_parents,F
63,1038912,Female,21,single,0,north,12.8,20642,rent,F
64,1011144,Female,51,single,0,north,10.2,56347,rent,F
65,656196,Female,48,single,0,east,18,31343,rent,F
66,487512,Male,43,single,0,east,11.8,17337,with_parents,F
67,336840,Male,42,single,0,east,12.6,55917,with_parents,F
68,533724,Male,41,single,0,east,14.9,16734,with_parents,F
69,685848,Female,28,single,0,east,20.1,26687,rent,F
70,387948,Female,44,single,0,east,14.2,56647,rent,F
71,486492,Female,27,single,0,east,22,42232,with_parents,F
72,572496,Male,39,single,0,east,23.4,43758,rent,F
73,1116744,Male,56,single,0,east,23.6,51774,rent,F
74,880188,Female,51,single,0,east,17.9,27797,rent,F
75,359676,Female,56,single,0,east,16.7,24761,rent,F
76,900120,Female,28,single,0,east,16.7,50794,rent,F
77,1160868,Female,36,single,0,north,16.1,16970,with_parents,F
78,602160,Female,56,single,0,east,14.4,51548,rent,F
79,288336,Female,39,single,0,east,23.9,47405,with_parents,F
80,1183080,Female,22,single,0,north,23.7,52886,rent,F
81,1074372,Female,52,single,0,north,11.3,45460,rent,F
82,492408,Male,52,single,0,east,16.5,51324,with_parents,F
83,304836,Female,41,single,0,east,17,56771,rent,F
84,765996,Male,36,single,0,east,14.2,58107,with_parents,F
85,586044,Female,54,single,0,east,17.6,40338,rent,F
86,530304,Male,56,single,0,east,21.4,41789,rent,F
87,556788,Female,28,single,0,east,11.7,47601,with_parents,F
88,906864,Female,46,single,0,east,12.3,37773,with_parents,F
89,379680,Female,36,single,0,east,9.6,33203,with_parents,F
90,879840,Female,50,single,0,east,23.6,54925,rent,F
91,274296,Female,34,single,0,east,13.7,24694,with_parents,F
92,909120,Male,45,single,0,east,16.6,48505,rent,F
93,373896,Male,58,single,0,east,14.9,56533,with_parents,F
94,913776,Female,54,single,0,east,15.3,43740,with_parents,F
95,872148,Female,34,single,0,east,12.2,38558,rent,F
96,310248,Male,48,single,0,east,15.9,50317,rent,F
97,570756,Male,35,single,0,east,13.7,40582,rent,F
98,747048,Female,61,single,0,east,9.7,32517,rent,F
99,617016,Female,53,single,0,east,21.5,43097,rent,F
100,339216,Male,49,single,0,east,15,52033,with_parents,F
101,914856,Male,62,single,0,east,13.7,51535,with_parents,F
102,1194396,Female,49,single,0,north,15.1,20029,with_parents,T
103,920976,Male,25,single,0,east,10.6,22864,rent,F
104,268632,Female,57,single,0,east,16.7,47487,with_parents,F
105,369972,Female,50,single,0,east,21.8,18975,with_parents,F
106,730932,Male,35,single,0,east,18.6,49491,rent,F
107,938220,Female,56,single,0,east,15.9,41278,with_parents,F
108,959484,Male,22,single,0,east,21,17018,with_parents,F
109,587892,Male,53,single,1,east,20.8,31680,with_parents,F
110,470616,Female,50,single,0,east,13.4,29117,rent,F
111,876036,Female,53,single,0,east,16.4,56301,with_parents,F
112,768588,Female,59,single,0,east,14.4,17481,with_parents,F
113,572160,Female,60,single,0,east,9,27981,rent,F
114,537960,Male,51,single,0,east,13.3,17643,with_parents,F
115,686280,Male,63,single,0,east,24.3,24372,with_parents,F
116,797964,Male,43,single,0,east,14.4,34985,with_parents,F
117,693012,Female,59,married,3,south,16.6,33663,rent,F
118,954756,Male,40,married,1,south,23.7,35879,rent,F
119,681552,Male,21,married,3,south,13.4,33219,with_parents,F
120,637116,Female,55,married,1,south,24.6,54635,rent,F
121,1128528,Male,50,married,3,south,14.9,16974,rent,T
122,410616,Male,46,married,1,south,14.6,53993,with_parents,F
123,982284,Male,64,married,2,south,13,56082,rent,F
124,623028,Male,40,married,0,south,13.5,59571,rent,F
125,539280,Male,50,married,0,south,17.9,30375,rent,F
126,508836,Male,32,married,1,south,16.1,57820,with_parents,F
127,443388,Male,50,married,0,south,20.6,59288,with_parents,F
128,395100,Male,56,married,1,south,20.1,30789,with_parents,F
129,345804,Male,64,married,2,south,20.7,35247,rent,F
130,403440,Female,41,single,0,south,23.5,52362,with_parents,F
131,887604,Female,40,single,0,south,18.3,35213,rent,F
132,358284,Female,26,single,0,south,15.8,30732,with_parents,F
133,379968,Female,52,single,0,south,19.8,26524,with_parents,F
134,425124,Male,40,single,0,south,24.8,28925,rent,F
135,445212,Male,26,single,0,south,10.2,51470,rent,F
136,1055400,Female,61,single,0,south,16.5,26626,with_parents,F
137,1112388,Male,36,married,4,south,10.1,23665,rent,T
138,1071936,Male,28,married,3,south,10.6,56502,with_parents,F
139,987564,Female,24,married,3,south,19.9,50865,rent,F
140,882780,Female,63,married,0,south,10.1,38571,with_parents,F
141,839436,Female,58,married,3,south,18.5,18899,rent,T
142,795336,Male,27,married,0,south,17.3,38313,rent,F
143,748032,Female,61,married,3,south,11.2,33359,with_parents,F
144,708300,Female,56,married,0,south,20.3,33033,with_parents,F
145,665136,Female,49,married,1,south,13.8,27657,rent,F
146,656220,Female,57,married,1,south,20.3,30446,rent,F
147,649512,Female,57,married,4,south,19,35693,with_parents,F
148,569832,Female,21,married,0,south,19,59101,rent,F
149,538452,Male,20,married,1,south,19.1,42293,rent,F
150,459252,Male,45,married,0,south,13.3,21877,with_parents,F
151,414540,Male,60,married,1,south,12.4,29054,with_parents,F
152,401412,Female,64,married,1,south,14.8,20706,rent,F
153,394824,Female,45,married,1,south,9.2,37786,rent,F
154,787356,Female,48,married,3,south,24.7,25273,with_parents,T
155,803052,Female,59,married,2,south,24.8,40368,with_parents,F
156,591792,Female,50,married,2,south,23.4,34424,with_parents,F
157,370776,Male,53,married,0,south,23.6,49137,with_parents,F
158,467412,Female,45,married,2,south,14.8,17768,rent,F
159,720084,Female,48,married,0,south,20.9,19270,rent,F
160,669600,Male,25,married,1,south,24,25911,with_parents,F
161,432672,Female,52,married,1,south,13.7,43950,rent,F
162,1171824,Female,45,married,3,south,18.4,19089,with_parents,T
163,916800,Female,47,married,1,south,13.1,19324,with_parents,T
164,634368,Male,48,married,1,south,21.2,43564,with_parents,F
165,900396,Female,25,married,0,south,18.8,35247,with_parents,F
166,1017852,Male,26,married,2,south,13.8,16938,rent,T
167,864240,Female,64,married,1,south,20.2,50385,rent,F
168,710928,Male,34,married,3,south,24.3,47433,with_parents,F
169,547284,Male,63,married,0,south,24.2,45953,with_parents,F
170,337908,Female,37,married,1,south,24.8,49099,rent,F
171,707196,Male,26,married,2,south,17.8,32691,with_parents,F
172,1046028,Male,20,married,0,south,22.8,55754,rent,F
173,935088,Female,47,married,0,south,14.2,26092,with_parents,F
174,797448,Male,54,married,3,south,13.6,21442,with_parents,T
175,1032576,Female,62,married,1,south,19.1,28075,with_parents,T
176,383112,Male,24,married,1,south,16.5,30906,with_parents,F
177,925788,Male,38,married,1,south,9.8,40189,with_parents,F
178,386700,Female,40,married,1,south,16.6,37817,with_parents,F
179,318264,Male,60,married,0,south,19.6,17646,with_parents,F
180,953928,Male,39,married,1,south,14.2,29868,rent,T
181,601008,Male,61,married,0,south,18.7,37592,with_parents,F
182,812520,Female,23,married,1,south,14.6,35629,rent,F
183,574800,Female,49,married,0,south,12.9,44928,rent,F
184,971700,Male,44,married,0,south,9.2,19461,rent,F
185,1029600,Male,34,married,1,south,9.6,47852,with_parents,F
186,1176804,Female,30,married,1,south,20.3,47324,with_parents,F
187,915360,Male,44,married,2,south,23,25529,with_parents,T
188,711180,Male,26,married,3,south,12.8,36788,with_parents,F
189,479676,Female,62,married,3,south,11.4,50629,rent,F
190,477204,Male,22,married,2,south,18.1,51748,rent,F
191,498336,Female,63,married,2,south,22,27987,with_parents,F
192,897048,Female,50,married,1,south,19.9,52688,with_parents,F
193,301128,Male,59,married,1,south,20.3,45316,rent,F
194,1172004,Male,40,married,3,south,23.2,38368,with_parents,T
195,812268,Male,47,married,3,south,10.6,21130,rent,T
196,621480,Female,56,married,1,south,22.6,45672,with_parents,F
197,1154520,Male,59,married,3,south,17.4,28361,with_parents,T
198,453852,Female,29,married,1,south,24.4,57321,rent,F
199,579120,Male,23,married,3,south,19.9,46442,with_parents,F
200,693000,Male,46,married,1,south,16.9,54269,with_parents,F
201,1018200,Male,24,married,1,south,23.5,21244,rent,T
202,310164,Female,41,married,2,south,10.2,47554,rent,F
203,1073148,Female,60,married,1,south,18.5,35108,with_parents,T
204,1006416,Male,55,married,0,south,12,17499,rent,F
205,821184,Male,46,married,3,south,11.1,17543,with_parents,T
206,844656,Female,56,married,2,south,14,46811,with_parents,F
207,592404,Female,42,married,2,south,20.1,59447,rent,F
208,410688,Male,23,married,1,south,11.3,40420,with_parents,F
209,994056,Male,28,married,1,south,15.8,19986,with_parents,T
210,1188624,Female,62,married,3,south,11.9,48919,rent,F
211,838128,Female,31,married,0,south,13.1,57793,rent,F
212,753456,Female,56,married,1,south,10.5,36236,rent,F
213,401040,Female,62,married,0,south,10.4,54610,rent,F
214,266016,Female,54,married,2,south,11.3,49314,rent,F
215,463920,Female,23,married,3,south,16.2,31696,with_parents,F
216,687912,Male,50,married,3,south,21.4,16902,with_parents,T
217,936720,Female,33,married,3,south,16.7,44077,rent,F
218,1109016,Male,34,married,3,south,18.9,39510,rent,F
219,943476,Female,32,married,0,south,14,25056,rent,F
220,926652,Male,41,married,3,south,21.2,54732,rent,F
221,860304,Male,31,married,3,south,19.5,27161,rent,T
222,315240,Male,63,married,1,south,23.8,50183,rent,F
223,1088868,Male,25,married,0,south,18.5,51663,with_parents,F
224,1141080,Male,34,married,3,south,16,26323,rent,T
225,476412,Female,63,married,2,south,13.2,35665,with_parents,F
226,317880,Female,47,married,2,south,14,24418,rent,F
227,1118844,Female,62,married,2,south,17.6,32870,with_parents,T
228,439548,Male,24,married,2,south,23.6,45997,rent,F
229,1199928,Male,47,married,3,south,23,39751,rent,T
230,1083744,Male,24,married,3,south,14.2,20110,rent,T
231,704976,Female,43,married,3,south,11.3,58096,with_parents,F
232,325080,Male,47,married,2,south,12.9,45518,rent,F
233,638556,Male,36,married,0,south,14.3,25328,with_parents,F
234,999084,Male,54,married,0,south,14.3,59047,with_parents,F
235,1149828,Male,30,single,0,south,19.6,54806,with_parents,F
236,1107744,Male,39,single,2,south,22.1,36505,rent,F
237,1048740,Male,59,single,1,south,14.1,59325,with_parents,F
238,1042968,Female,23,single,0,south,17.1,37669,with_parents,F
239,1023060,Female,57,single,0,south,24.3,26457,with_parents,F
240,1021308,Male,41,single,1,south,20.2,26335,rent,F
241,1010820,Male,40,single,0,south,12.6,26049,rent,F
242,995952,Female,20,single,0,south,23.3,35260,rent,F
243,905808,Male,41,single,0,south,22.1,52389,rent,F
244,863664,Male,38,single,0,south,21,34283,rent,F
245,849528,Female,21,single,0,south,23.6,38801,rent,F
246,731580,Male,41,single,0,south,20.6,37602,with_parents,F
247,541392,Female,42,single,0,south,19.1,42153,with_parents,F
248,408276,Female,37,single,0,south,18.6,54422,with_parents,F
249,360612,Female,51,single,0,south,14.1,55942,rent,F
250,1011012,Female,23,single,0,south,22.3,45736,with_parents,F
251,277488,Female,62,single,0,south,14.2,30473,with_parents,F
252,341352,Male,33,single,0,south,24.2,54378,with_parents,F
253,453900,Male,42,single,0,south,10.3,58059,with_parents,F
254,894732,Female,34,single,0,south,10.3,36533,with_parents,F
255,702384,Male,22,single,0,south,22.7,21861,rent,F
256,853488,Male,44,single,0,south,13.7,35139,with_parents,F
257,1178088,Female,60,single,0,south,18.1,20184,with_parents,F
258,976680,Female,55,single,0,south,11.3,55849,with_parents,F
259,826212,Male,62,single,0,south,19.3,54766,with_parents,F
260,864840,Male,33,single,0,south,18.7,17245,rent,F
261,655044,Female,36,single,0,south,11,59256,rent,F
262,379476,Male,47,single,0,south,16.8,22621,with_parents,F
263,956988,Female,35,single,0,south,16.4,23682,rent,F
264,1043028,Female,47,single,0,south,13.5,43755,rent,F
265,852612,Female,48,single,0,south,18.3,43007,with_parents,F
266,1120380,Female,28,single,0,south,22.2,51110,rent,F
267,716772,Male,37,single,0,south,20,23102,with_parents,F
268,586092,Female,41,single,0,south,15.3,25142,rent,F
269,1145196,Male,52,single,0,south,17.8,48614,rent,F
270,1115232,Female,60,single,0,south,13.5,33646,with_parents,F
271,639252,Female,42,single,0,south,22.8,34547,with_parents,F
272,983556,Male,41,single,0,south,15.4,53889,with_parents,F
273,467244,Female,47,single,0,south,21.5,54852,rent,F
274,1031400,Female,63,single,0,south,21.6,29600,with_parents,F
275,1132164,Male,27,single,0,south,24.9,43795,rent,F
276,868080,Male,55,single,0,south,12.4,39584,rent,F
277,873072,Female,54,single,0,south,24.7,32840,rent,F
278,640740,Male,40,single,0,south,13,20504,rent,F
279,486756,Male,22,single,0,south,11.5,17726,with_parents,F
280,452268,Male,34,single,0,south,12,34753,rent,F
281,767520,Female,22,single,0,south,9.5,44031,rent,F
282,504036,Male,56,single,0,south,10.7,33173,rent,F
283,1005180,Male,39,single,0,south,13.8,40892,rent,F
284,1073100,Male,55,single,0,south,20.5,56509,with_parents,F
285,638940,Female,38,single,0,south,13.6,35308,rent,F
286,803136,Male,38,single,0,south,16.5,45805,rent,F
287,1136220,Male,36,single,0,south,10.4,54537,with_parents,F
288,1071672,Female,40,single,0,south,14.7,24714,with_parents,T
289,913080,Male,60,single,0,south,23.6,47575,rent,F
290,595320,Male,21,single,0,south,10.5,57204,rent,F
291,286020,Male,59,single,0,south,19.9,36733,with_parents,F
292,412920,Male,46,single,0,south,20,49646,with_parents,F
293,446160,Female,54,single,0,south,24.8,54432,with_parents,F
294,792432,Female,54,single,0,south,13.1,47743,with_parents,F
295,1125444,Female,61,single,0,south,11,38782,with_parents,F
296,1188204,Male,59,single,0,south,16.6,25493,rent,F
297,644748,Female,36,single,0,south,12.4,51256,with_parents,F
298,530904,Male,26,single,0,south,14.6,37201,rent,F
299,554148,Male,41,single,0,south,15.9,56201,with_parents,F
300,850512,Male,41,single,0,south,14.5,45855,with_parents,F
301,758592,Female,44,single,0,south,17.2,55967,rent,F
302,412380,Female,62,single,0,south,19.7,49498,rent,F
303,645672,Male,40,single,0,south,18.3,19605,with_parents,F
304,574956,Female,51,single,0,south,17.3,49921,rent,F
305,814584,Female,51,single,0,south,14.5,41169,with_parents,F
306,572748,Female,57,single,0,south,20.6,49472,rent,F
307,555108,Male,30,single,0,south,12.5,26925,rent,F
308,394176,Female,63,single,0,south,23,48061,with_parents,F
309,890484,Male,27,single,0,south,9.5,23084,rent,F
310,689280,Female,57,single,0,south,12.9,45664,with_parents,F
311,520944,Male,59,single,0,south,9.2,59418,with_parents,F
312,1105788,Female,50,single,0,south,10.6,17953,with_parents,F
313,328020,Male,47,single,0,south,10,25615,with_parents,F
314,801996,Male,36,single,0,south,19.3,32630,rent,F
315,580596,Female,49,single,0,south,19.3,45167,rent,F
316,538452,Female,26,single,0,south,22,33623,rent,F
317,788892,Female,26,single,0,south,10.3,28018,with_parents,F
318,769176,Male,40,single,0,south,10.3,59545,with_parents,F
319,1105704,Female,59,single,0,south,10.4,41628,rent,F
320,813012,Female,32,single,0,south,9,30010,rent,F
321,562644,Male,21,single,0,south,24.4,16595,with_parents,F
322,315204,Male,21,single,0,south,13.7,39475,rent,F
323,463620,Female,55,single,0,south,22.2,50459,with_parents,F
324,696420,Female,39,single,0,south,13.5,16982,rent,F
325,305796,Male,39,single,0,south,15.1,19929,rent,F
326,714408,Female,29,single,0,south,23.6,56470,with_parents,F
327,354480,Male,51,single,0,south,10.1,30119,with_parents,F
328,785700,Male,29,married,1,central,23.7,41180,rent,F
329,370956,Male,50,married,2,central,26.6,30687,rent,F
330,800424,Female,53,married,3,central,17.2,37314,rent,F
331,837252,Female,60,married,0,central,25.9,17385,rent,F
332,396264,Male,60,married,3,central,12.1,26961,with_parents,F
333,312168,Female,63,single,0,central,26.4,25481,rent,F
334,315480,Male,28,single,0,central,21.7,18374,with_parents,F
335,1011900,Male,20,single,0,central,15.7,55276,with_parents,F
336,353040,Female,29,single,0,central,12.6,56723,with_parents,F
337,663588,Male,29,single,0,central,20,58742,rent,F
338,360420,Male,23,single,0,central,21.6,21848,rent,F
339,694296,Female,46,single,0,central,20.3,44877,with_parents,F
340,1198428,Male,47,single,0,central,12.5,20837,with_parents,F
341,1035048,Female,32,single,0,central,16.7,33747,with_parents,F
342,306408,Female,35,single,0,central,18.2,54446,with_parents,F
343,672468,Male,34,single,0,central,20.8,26766,rent,F
344,587076,Male,58,single,0,central,27.7,23638,rent,F
345,808764,Female,51,single,0,central,26.4,53833,with_parents,F
346,323736,Male,21,single,0,central,28.7,57397,rent,F
347,1178580,Male,38,married,3,central,14.1,48722,rent,F
348,1157904,Male,33,married,2,central,13.1,24342,rent,T
349,1144152,Male,59,married,1,central,12.1,56272,rent,F
350,976800,Female,43,married,0,central,28,17513,rent,F
351,909540,Female,50,married,3,central,24.3,23553,with_parents,T
352,873300,Male,50,married,1,central,23.3,40175,with_parents,F
353,692076,Male,53,married,1,central,27,58579,rent,F
354,651144,Male,52,married,4,central,24.4,36674,rent,F
355,566904,Male,44,married,3,central,27,44443,with_parents,F
356,548472,Female,58,married,0,central,20.9,42167,rent,F
357,480768,Male,42,married,1,central,28.8,59857,with_parents,F
358,430680,Female,43,married,3,central,24.3,35470,with_parents,F
359,319800,Female,43,married,2,central,29.6,30802,rent,F
360,721812,Male,57,married,1,central,24.2,33219,with_parents,F
361,698916,Male,64,married,1,central,18.6,55118,with_parents,F
362,963732,Female,28,married,3,central,15.6,49047,with_parents,F
363,1188180,Male,41,married,0,central,18.3,49455,with_parents,F
364,1145292,Female,52,married,1,central,20.6,43824,with_parents,T
365,1032384,Female,64,married,0,central,13.5,23122,with_parents,F
366,352536,Male,27,married,3,central,19.1,36730,with_parents,F
367,608580,Female,62,married,2,central,23.5,41582,with_parents,F
368,497112,Female,45,married,2,central,24.1,29598,with_parents,F
369,415860,Male,56,married,2,central,17.5,58393,rent,F
370,454584,Male,57,married,3,central,28.8,22293,with_parents,F
371,378060,Female,55,married,3,central,25.1,37612,rent,F
372,775680,Female,24,married,3,central,25.5,40986,rent,F
373,906600,Female,23,married,1,central,18.9,27035,with_parents,T
374,954732,Female,31,married,3,central,29.5,32818,with_parents,F
375,944340,Male,41,married,2,central,19.2,24227,with_parents,T
376,981684,Male,54,married,3,central,28.2,40710,with_parents,F
377,499260,Female,27,married,3,central,20.2,32288,with_parents,F
378,1071840,Female,43,married,1,central,15.1,58950,rent,F
379,643128,Male,61,married,2,central,12.7,51246,with_parents,F
380,785208,Female,20,married,1,central,27.2,48471,with_parents,F
381,1160952,Male,46,married,3,central,17.7,54164,with_parents,F
382,327372,Female,56,married,1,central,12.1,26665,with_parents,F
383,1065324,Male,64,married,0,central,25.6,59794,with_parents,T
384,1070652,Female,25,married,1,central,12.8,52697,rent,F
385,512808,Female,50,married,0,central,20.3,20583,with_parents,F
386,388788,Male,32,married,0,central,26.3,25142,with_parents,F
387,710964,Female,23,married,0,central,15.7,43724,with_parents,F
388,568824,Female,23,married,3,central,24.7,57670,rent,F
389,544224,Female,60,married,1,central,12.7,40776,rent,F
390,887304,Female,56,married,0,central,25.3,37642,rent,F
391,758244,Male,28,married,2,central,14.7,35790,rent,F
392,953988,Female,50,married,1,central,28.2,40333,rent,F
393,839976,Female,58,married,1,central,12.3,18295,with_parents,T
394,961836,Female,52,married,0,central,29.8,21920,with_parents,F
395,1064388,Male,33,married,1,central,24.4,31849,with_parents,T
396,359148,Male,35,married,1,central,16.2,58109,rent,F
397,529116,Male,27,married,0,central,13.1,23412,with_parents,F
398,1021104,Male,57,married,1,central,19.7,43694,with_parents,F
399,1123620,Female,64,married,0,central,16.6,18156,rent,F
400,844104,Male,22,married,1,central,28.2,38539,rent,F
401,428040,Male,45,married,1,central,18.7,51895,rent,F
402,464592,Male,55,married,3,central,20.7,24136,with_parents,F
403,1186296,Female,25,married,2,central,27.5,43679,rent,T
404,877452,Male,37,married,0,central,19.2,55025,with_parents,F
405,894936,Male,55,married,0,central,13.9,56412,with_parents,F
406,316140,Male,61,married,0,central,19.7,31143,with_parents,F
407,878148,Female,60,married,1,central,27.8,30018,rent,F
408,1023612,Male,36,married,3,central,15.3,34348,with_parents,F
409,741396,Male,23,married,3,central,29.6,43649,rent,F
410,407352,Female,34,married,2,central,25.8,17713,with_parents,F
411,1030824,Male,31,married,0,central,14.5,18520,with_parents,F
412,1061316,Male,43,married,1,central,22.2,48132,with_parents,T
413,948348,Female,26,married,0,central,28.9,29205,rent,F
414,682512,Male,49,married,0,central,28.5,17419,with_parents,F
415,1057044,Male,52,married,1,central,19.6,27143,rent,T
416,870636,Male,40,married,3,central,23.7,36379,rent,F
417,409332,Female,54,married,2,central,18.7,53716,with_parents,F
418,477768,Male,57,married,0,central,21.7,33453,with_parents,F
419,392196,Male,36,married,2,central,21,40433,with_parents,F
420,1101384,Female,23,married,0,central,14.8,34096,with_parents,F
421,359184,Male,33,married,2,central,19.7,56463,rent,F
422,780312,Female,41,married,1,central,21.7,48019,with_parents,F
423,1158804,Female,46,married,1,central,29.5,50680,rent,T
424,893940,Male,27,married,0,central,19.7,57707,rent,F
425,305004,Female,20,married,0,central,22.6,37189,with_parents,F
426,800868,Male,29,married,0,central,24.9,29917,with_parents,F
427,1191648,Female,41,married,2,central,21.8,40881,rent,T
428,722460,Female,40,married,1,central,15.1,25311,rent,F
429,677844,Female,39,married,0,central,27.7,47771,with_parents,F
430,326364,Female,20,married,0,central,28.8,52957,with_parents,F
431,818604,Female,45,married,3,central,26,41595,rent,F
432,325344,Male,63,married,0,central,18.3,41182,rent,F
433,410916,Male,59,married,2,central,26.1,42059,rent,F
434,1101624,Female,32,married,2,central,14.6,48817,with_parents,F
435,638628,Female,31,married,0,central,24.6,19176,rent,F
436,341556,Male,55,married,3,central,19.5,33355,rent,F
437,1048188,Female,30,married,1,central,26.7,48543,with_parents,T
438,277896,Female,25,married,0,central,20.1,36169,rent,F
439,656196,Male,64,married,0,central,25.1,27134,rent,F
440,985044,Male,53,married,0,central,26.1,33531,rent,F
441,982656,Male,38,married,0,central,18.7,38201,with_parents,F
442,924384,Male,59,married,2,central,24.8,26390,with_parents,T
443,566712,Female,23,married,0,central,29.2,34739,with_parents,F
444,390360,Male,42,married,1,central,24.4,29939,rent,F
445,349848,Female,28,married,1,central,21.2,30063,rent,F
446,1036092,Male,56,married,2,central,15.7,38391,with_parents,F
447,753936,Female,39,married,0,central,23.3,49930,rent,F
448,872544,Male,30,married,0,central,28.8,47118,with_parents,F
449,938292,Female,64,married,1,central,23.1,42839,rent,F
450,975552,Male,39,married,0,central,27.5,26936,rent,F
451,929040,Female,24,married,3,central,17.1,59501,with_parents,F
452,337356,Female,45,married,1,central,26.5,21522,with_parents,F
453,727128,Male,33,married,1,central,22.2,32532,rent,F
454,279060,Male,55,married,0,central,28.1,25034,with_parents,F
455,1152732,Male,34,married,0,central,28.3,27522,with_parents,T
456,467736,Male,21,married,1,central,21.1,56465,with_parents,F
457,556776,Male,53,married,1,central,20.4,19725,rent,F
458,603792,Female,64,married,3,central,26.2,53293,rent,F
459,548124,Male,21,married,1,central,13.2,50458,rent,F
460,555972,Male,62,married,3,central,21,57048,with_parents,F
461,907980,Male,20,married,3,central,12.9,20443,rent,T
462,775980,Female,27,married,3,central,14.4,31014,rent,F
463,1121880,Female,26,married,1,central,23.2,34926,rent,T
464,471120,Male,59,married,3,central,18.5,28058,with_parents,F
465,979788,Female,24,married,2,central,19.3,32987,rent,F
466,1014720,Female,47,married,0,central,29.8,47052,with_parents,T
467,555564,Female,62,married,3,central,24.5,45082,rent,F
468,1190844,Male,35,married,2,central,22.3,30971,rent,T
469,1023480,Female,53,married,0,central,17.7,42275,with_parents,F
470,934956,Male,21,married,3,central,26.3,48785,with_parents,F
471,915744,Male,34,married,0,central,19.1,37718,rent,F
472,1029744,Male,34,married,3,central,14,57957,rent,F
473,602172,Female,64,married,3,central,12.3,58872,rent,F
474,534864,Male,42,married,3,central,19.4,23302,with_parents,F
475,1163688,Male,20,married,2,central,20.7,43843,rent,T
476,521064,Male,43,married,3,central,22.5,38359,with_parents,F
477,1068456,Female,21,married,2,central,22.4,22100,with_parents,T
478,847272,Male,34,married,1,central,28.4,24956,rent,T
479,368676,Female,41,married,2,central,22.1,49518,with_parents,F
